District,School_Number,SCHOOL_NAME,Grade,Female (w),Male (w),Female (b),Male (b),Female (h),Male (h),Female (a),Male (a),Female (pi),Male (pi),Female (na),Male (na),Female (2+),Male (2+),Female (tot),Male (tot),Total
PALM BEACH,1361,JOHN I. LEONARD HIGH SCHOOL,12,49,45,63,57,152,138,6,7,1,2,1,4,5,7,277,260,537
PALM BEACH,1371,PALM BEACH GARDENS HIGH SCHOOL,12,66,79,136,104,35,41,8,13,,,1,,13,8,259,245,504
PALM BEACH,1461,INLET GROVE COMMUNITY HIGH SCHOOL,12,2,1,71,38,4,8,,2,,,1,1,,2,78,52,130
PALM BEACH,1571,SOUTH TECH ACADEMY,12,8,17,70,35,56,39,,1,,1,2,3,5,2,141,98,239
PALM BEACH,1611,SANTALUCES COMMUNITY HIGH,12,77,61,89,74,105,77,8,8,2,1,1,2,9,5,291,228,519
PALM BEACH,1681,SPANISH RIVER COMMUNITY HIGH SCHOOL,12,203,184,16,16,67,66,7,4,1,,,3,4,5,298,278,576
PALM BEACH,1771,PAHOKEE MIDDLE-SENIOR HIGH,12,,1,23,18,20,12,,,,,,,,,43,31,74
PALM BEACH,1801,ROYAL PALM SCHOOL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PALM BEACH,1851,PALM BEACH LAKES HIGH SCHOOL,12,5,3,150,110,15,23,1,4,,,2,,3,2,176,142,318
PALM BEACH,2001,PARK VISTA COMMUNITY HIGH SCHOOL,12,183,200,26,36,74,55,18,10,,,5,3,9,15,315,319,634
PALM BEACH,2181,OLYMPIC HEIGHTS COMMUNITY HIGH,12,101,117,37,38,72,63,12,12,,,4,7,6,4,232,241,473
PALM BEACH,2191,WELLINGTON HIGH SCHOOL,12,164,140,45,28,81,69,5,8,1,,1,1,6,10,303,256,559
PALM BEACH,2201,WILLIAM T. DWYER HIGH SCHOOL,12,130,119,62,62,30,37,8,4,,,,3,3,6,233,231,464
PALM BEACH,2301,GLADES CENTRAL HIGH SCHOOL,12,,2,72,46,32,13,,,,,,,2,2,106,63,169
PALM BEACH,2331,ROYAL PALM BEACH HIGH SCHOOL,12,45,62,91,85,59,73,12,8,,,1,2,9,7,217,237,454
PALM BEACH,2361,BOYNTON BEACH COMMUNITY HIGH,12,14,24,107,102,27,34,2,1,,,,1,3,1,153,163,316
PALM BEACH,2411,INDIAN RIDGE SCHOOL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PALM BEACH,2631,PALM BEACH CENTRAL HIGH SCHOOL,12,117,142,69,43,95,111,13,13,,,2,2,11,14,307,325,632
PALM BEACH,2811,VILLAGE ACADEMY ON THE ART & SARA JO KOBACKER CAMPUS,12,,,9,19,2,1,,,,,,,2,1,13,21,34
PALM BEACH,3010,PACE CENTER FOR GIRLS,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PALM BEACH,3046,SOUTH AREA SECONDARY INTENSIVE TRANSITION PROGRAM,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PALM BEACH,3083,RENAISSANCE LEARNING ACADEMY,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PALM BEACH,3101,CROSSROADS ACADEMY,12,,,6,7,1,4,,,,,,,,,7,11,18
PALM BEACH,3251,WEST BOCA RATON HIGH SCHOOL,12,159,143,25,22,55,53,6,7,,,,2,4,6,249,233,482
PALM BEACH,3345,GULFSTREAM L.I.F.E. ACADEMY,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PALM BEACH,3347,LEADERSHIP ACADEMY WEST,12,2,3,1,2,13,6,,,,,,,1,,17,11,28
PALM BEACH,3354,PALM BEACH JUVENILE CORRECTIONAL FACILITY,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PALM BEACH,3355,RIVIERA BEACH PREPARATORY & ACHIEVEMENT ACADEMY,12,1,,14,14,2,1,,,,,,,,,17,15,32
PALM BEACH,3386,TOUSSAINT L'OUVERTURE HIGH,12,2,,4,9,,,,,,,,,,,6,9,15
PALM BEACH,3396,G-STAR SCHOOL OF THE ARTS,12,50,53,33,16,43,28,,,,,,1,6,1,132,99,231
PALM BEACH,3398,EVERGLADES PREPARATORY ACADEMY,12,,,7,7,,3,,,,,,,,,7,10,17
PALM BEACH,3400,BELIEVERS ACADEMY,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PALM BEACH,3401,QUANTUM HIGH SCHOOL,12,5,15,6,12,6,5,,1,,,,,,1,17,34,51
PALM BEACH,3421,WORTHINGTON HIGH SCHOOL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PALM BEACH,3443,RIVIERA BEACH MARITIME ACADEMY,12,8,27,2,4,,3,,,,,,,,1,10,35,45
PALM BEACH,3861,SEMINOLE RIDGE COMMUNITY HIGH SCHOOL,12,154,174,25,38,68,81,8,9,,,1,1,5,6,261,309,570
PALM BEACH,3971,MAVERICKS HIGH SCHOOL AT PALM SPRINGS,12,14,20,22,23,28,20,,,,,1,,2,3,67,66,133
PALM BEACH,7004,PALM BEACH VIRTUAL FRANCHISE,12,11,6,,1,5,2,1,,,,,,,1,17,10,27
PASCO,31,PASCO HIGH SCHOOL,12,75,83,13,11,37,42,,1,,,,,7,3,132,140,272
PASCO,63,WESLEY CHAPEL HIGH SCHOOL,12,84,82,15,22,34,32,1,8,,,,1,9,7,143,152,295
PASCO,73,JAMES W. MITCHELL HIGH SCHOOL,12,168,162,7,4,17,19,5,5,,,2,1,6,3,205,194,399
PASCO,90,WIREGRASS RANCH HIGH SCHOOL,12,136,134,31,28,72,67,9,13,,2,1,2,10,9,259,255,514
PASCO,101,SUNLAKE HIGH SCHOOL,12,110,106,5,18,42,54,8,9,,1,1,1,10,9,176,198,374
PASCO,113,ANCLOTE HIGH SCHOOL,12,72,68,5,6,12,25,3,2,1,,,2,5,3,98,106,204
PASCO,114,FIVAY HIGH SCHOOL,12,100,97,3,2,15,25,2,2,,,1,2,10,9,131,137,268
PASCO,131,ZEPHYRHILLS HIGH SCHOOL,12,112,112,7,8,17,18,1,5,,,2,1,2,2,141,146,287
PASCO,331,GULF HIGH SCHOOL,12,93,78,4,8,20,28,4,5,1,,2,,7,8,131,127,258
PASCO,471,RIVER RIDGE HIGH SCHOOL,12,121,133,3,2,20,12,1,3,,,1,2,7,5,153,157,310
PASCO,521,HUDSON HIGH SCHOOL,12,95,82,2,1,17,11,1,1,,1,3,,3,3,121,99,220
PASCO,801,LAND O' LAKES HIGH SCHOOL,12,114,111,12,15,44,35,10,14,,,2,1,11,7,193,183,376
PASCO,931,RIDGEWOOD HIGH SCHOOL,12,79,66,5,3,25,17,1,1,,,,,7,5,117,92,209
PASCO,991,MARCHMAN TECHNICAL COLLEGE,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PASCO,7004,PASCO ESCHOOL-VIRTUAL FRANCHISE,12,15,8,,1,1,,2,,,,,,2,1,20,10,30
PINELLAS,251,BAYSIDE HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PINELLAS,251,BAYSIDE HIGH SCHOOL,12,12,22,12,10,6,4,,2,,,,,1,1,31,39,70
PINELLAS,431,BOCA CIEGA HIGH SCHOOL,11,5,1,4,2,2,,1,,,,,,,,12,3,15
PINELLAS,431,BOCA CIEGA HIGH SCHOOL,12,58,55,83,64,17,6,7,2,,1,,,5,6,170,134,304
PINELLAS,711,CLEARWATER HIGH SCHOOL,12,94,92,28,25,40,36,7,7,2,,,,5,4,176,164,340
PINELLAS,751,COUNTRYSIDE HIGH SCHOOL,11,8,2,1,1,1,1,,,,,,,,,10,4,14
PINELLAS,751,COUNTRYSIDE HIGH SCHOOL,12,123,160,14,18,30,28,12,14,,,,,8,7,187,227,414
PINELLAS,1031,DIXIE M. HOLLINS HIGH SCHOOL,11,4,3,2,,1,,,,,,,,1,,8,3,11
PINELLAS,1031,DIXIE M. HOLLINS HIGH SCHOOL,12,86,73,12,13,24,18,12,10,,1,2,,6,5,142,120,262
PINELLAS,1081,DUNEDIN HIGH SCHOOL,11,6,3,2,,1,2,1,,,,,,,,10,5,15
PINELLAS,1081,DUNEDIN HIGH SCHOOL,12,112,102,18,13,16,21,3,5,,,2,4,10,5,161,150,311
PINELLAS,1531,GIBBS HIGH SCHOOL,11,2,,7,3,,,,,,,,,,,9,3,12
PINELLAS,1531,GIBBS HIGH SCHOOL,12,34,15,79,64,7,4,2,2,,,1,,3,3,126,88,214
PINELLAS,2031,LAKEWOOD HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PINELLAS,2031,LAKEWOOD HIGH SCHOOL,12,18,39,79,85,10,7,6,5,,,,,3,3,116,139,255
PINELLAS,2081,LARGO HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PINELLAS,2081,LARGO HIGH SCHOOL,12,90,99,26,20,19,18,15,14,,1,2,3,5,4,157,159,316
PINELLAS,2581,NINA HARRIS ESE CENTER,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PINELLAS,2641,NORTHEAST HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PINELLAS,2641,NORTHEAST HIGH SCHOOL,12,120,121,27,42,23,21,14,10,1,1,1,2,13,4,199,201,400
PINELLAS,3031,OSCEOLA FUNDAMENTAL HIGH,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PINELLAS,3031,OSCEOLA FUNDAMENTAL HIGH,12,178,150,7,9,16,12,2,1,1,,,1,6,1,210,174,384
PINELLAS,3231,RICHARD L. SANDERS SCHOOL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PINELLAS,3421,PINELLAS PARK HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PINELLAS,3421,PINELLAS PARK HIGH SCHOOL,12,142,104,24,27,29,32,23,20,1,,,3,13,11,232,197,429
PINELLAS,3781,ST. PETERSBURG HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PINELLAS,3781,ST. PETERSBURG HIGH SCHOOL,12,155,139,40,28,25,18,23,28,,,,2,8,7,251,222,473
PINELLAS,3921,SEMINOLE HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PINELLAS,3921,SEMINOLE HIGH SCHOOL,12,223,146,9,10,26,16,5,2,,,1,,3,2,267,176,443
PINELLAS,4521,TARPON SPRINGS HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PINELLAS,4521,TARPON SPRINGS HIGH SCHOOL,12,124,104,12,7,22,12,4,3,,,,,8,5,170,131,301
PINELLAS,4681,PALM HARBOR UNIVERSITY HIGH,11,7,5,,,1,,1,,,,,,,,9,5,14
PINELLAS,4681,PALM HARBOR UNIVERSITY HIGH,12,269,228,8,4,36,12,12,17,,,2,2,9,3,336,266,602
PINELLAS,6181,EAST LAKE HIGH SCHOOL,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PINELLAS,6181,EAST LAKE HIGH SCHOOL,11,7,1,2,,1,1,1,,,,,,1,,12,2,14
PINELLAS,6181,EAST LAKE HIGH SCHOOL,12,177,223,4,10,24,27,8,10,,,1,,4,5,218,275,493
PINELLAS,6371,PINELLAS GULF COAST ACADEMY,11,6,5,2,1,2,,,,,,,,,,10,6,16
PINELLAS,6371,PINELLAS GULF COAST ACADEMY,12,4,12,3,3,4,4,,2,,,1,,,2,12,23,35
PINELLAS,7051,PINELLAS TELESCHOOL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PINELLAS,7071,DROPOUT PREVENTION SCHOOL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PINELLAS,7073,EYES-E-NINI-HASSEE CAMP,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PINELLAS,7191,ST. PETERSBURG COLLEGIATE HIGH SCHOOL,12,38,15,4,2,2,5,6,3,2,,1,,2,,55,25,80
PINELLAS,7371,NEWPOINT CHARTER SCHOOL,12,7,8,1,,1,3,,,,,,,,1,9,12,21
PINELLAS,7491,PINELLAS MYCROSCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGIES (MYCROSCHOOL PINELLAS),11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PINELLAS,7491,PINELLAS MYCROSCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGIES (MYCROSCHOOL PINELLAS),12,8,19,17,14,3,3,,1,,,,,,,28,37,65
PINELLAS,7731,ENTERPRISE CHARTER HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PINELLAS,7731,ENTERPRISE CHARTER HIGH SCHOOL,12,20,28,6,6,3,4,,1,,,1,,1,2,31,41,72
PINELLAS,8015,EWES-ECKERD YOUTH CHALLENGE,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PINELLAS,8015,EWES-ECKERD YOUTH CHALLENGE,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
POLK,31,LAKELAND SENIOR HIGH SCHOOL,12,117,97,42,33,36,31,2,2,,1,1,1,13,7,211,172,383
POLK,481,WINTER HAVEN SENIOR HIGH SCHOOL,12,65,70,50,46,39,24,3,2,2,,1,1,4,3,164,146,310
POLK,791,FORT MEADE MIDDLE/SENIOR HIGH SCHOOL,12,12,16,4,5,15,13,,,,,,,1,3,32,37,69
POLK,811,AUBURNDALE SENIOR HIGH SCHOOL,12,87,98,19,17,22,27,1,,,1,2,1,4,4,135,148,283
POLK,901,BARTOW SENIOR HIGH SCHOOL,12,86,112,29,25,39,34,7,8,,,,,9,10,170,189,359
POLK,916,DAVENPORT COMMUNITY CAMPUS,12,5,4,1,2,1,2,,,,,,,,,7,8,15
POLK,937,RIDGE COMMUNITY HIGH SCHOOL,12,80,63,35,39,107,91,7,3,,,1,1,5,4,235,201,436
POLK,1051,TENOROC HIGH SCHOOL,12,51,40,11,13,29,16,,,,,1,1,4,2,96,72,168
POLK,1131,MULBERRY SENIOR HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
POLK,1131,MULBERRY SENIOR HIGH SCHOOL,12,55,40,9,10,26,25,1,1,,,1,,,1,92,77,169
POLK,1181,KATHLEEN SENIOR HIGH SCHOOL,12,62,86,58,40,44,33,1,,,,2,3,2,2,169,164,333
POLK,1491,GAUSE ACADEMY OF LEADERSHIP,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
POLK,1591,MAYNARD A. TRAVISS CAREER CENTER,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
POLK,1671,MCKEEL ACADEMY OF TECHNOLOGY,12,61,48,7,9,13,12,3,4,1,,1,,5,,91,73,164
POLK,1691,RIDGE CAREER CENTER,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
POLK,1721,LAKE WALES SENIOR HIGH SCHOOL,12,70,65,33,35,20,25,5,4,,,1,,6,3,135,132,267
POLK,1762,LAKE GIBSON SENIOR HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
POLK,1762,LAKE GIBSON SENIOR HIGH SCHOOL,12,105,92,29,33,28,32,3,1,,,,,10,2,175,160,335
POLK,1791,HAINES CITY SENIOR HIGH SCHOOL,12,40,27,51,47,108,74,7,8,,,3,1,8,3,217,160,377
POLK,1801,FROSTPROOF MIDDLE/SENIOR HIGH,12,27,36,5,9,16,7,,,,,,,,1,48,53,101
POLK,1931,GEORGE W. JENKINS SENIOR HIGH,11,5,3,1,,,2,,,,,,,,,6,5,11
POLK,1931,GEORGE W. JENKINS SENIOR HIGH,12,147,135,29,17,47,45,5,11,,,,4,10,7,238,219,457
POLK,1991,LAKE REGION HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
POLK,1991,LAKE REGION HIGH SCHOOL,12,69,60,29,22,50,36,4,4,1,,3,1,4,7,160,130,290
POLK,2001,BILL DUNCAN OPPORTUNITY CENTER,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
POLK,7023,POLK FULL TIME ESCHOOL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
POLK,8003,POLK STATE LAKELAND GATEWAY TO COLLEGE CHARTER HIGH SCHOOL,12,,4,6,3,2,1,,,,,,,1,,9,8,17
POLK,8004,NEW BEGINNINGS HIGH SCHOOL,12,6,3,7,6,6,5,,,,,,,3,1,22,15,37
POLK,8131,POLK STATE COLLEGE COLLEGIATE HIGH SCHOOL,12,59,30,14,3,17,10,4,3,,,,,3,,97,46,143
POLK,8133,CHAIN OF LAKES COLLEGIATE HIGH,12,54,40,9,4,13,11,2,4,,,3,2,3,4,84,65,149
POLK,9003,HOSPITAL HOMEBOUND,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
POLK,9205,RIDGE TEEN PARENT PROGRAM,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
POLK,9225,PACE CENTER FOR GIRLS,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PUTNAM,112,INTERLACHEN HIGH SCHOOL,12,40,43,6,8,4,5,1,,1,,,2,1,1,53,59,112
PUTNAM,261,CRESCENT CITY JUNIOR/SENIOR HIGH SCHOOL,12,15,16,9,8,13,10,,,,,,,1,,38,34,72
PUTNAM,301,PALATKA HIGH SCHOOL,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PUTNAM,301,PALATKA HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
PUTNAM,301,PALATKA HIGH SCHOOL,12,70,55,32,32,4,5,2,,,,1,,2,,111,92,203
PUTNAM,7004,PUTNAM VIRTUAL FRANCHISE,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ST. JOHNS,33,ST. JOHNS TECHNICAL HIGH SCHOOL,12,9,19,2,2,1,,,1,,,,,,,12,22,34
ST. JOHNS,181,ST. AUGUSTINE HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ST. JOHNS,181,ST. AUGUSTINE HIGH SCHOOL,12,139,144,22,29,19,12,5,5,,1,,,2,2,187,193,380
ST. JOHNS,251,ALLEN D NEASE SENIOR HIGH SCHOOL,12,146,143,9,10,16,20,11,10,1,,,,5,3,188,186,374
ST. JOHNS,401,PEDRO MENENDEZ HIGH SCHOOL,12,133,112,7,12,10,5,4,1,,,,1,2,2,156,133,289
ST. JOHNS,411,BARTRAM TRAIL HIGH SCHOOL,12,188,171,17,11,25,10,8,8,,,,,4,3,242,203,445
ST. JOHNS,421,HASTINGS JUVENILE CORRECTIONAL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ST. JOHNS,492,PONTE VEDRA HIGH SCHOOL,12,142,158,1,5,4,14,7,7,,,1,,1,1,156,185,341
ST. JOHNS,493,CREEKSIDE HIGH SCHOOL,12,179,179,13,13,25,18,3,9,1,1,,1,4,,225,221,446
ST. JOHNS,7004,ST. JOHNS VIRTUAL FRANCHISE,12,8,5,,,2,1,,,,,,,,,10,6,16
ST. LUCIE,121,LINCOLN PARK ACADEMY,12,47,59,24,23,17,17,11,8,,,,1,3,,102,108,210
ST. LUCIE,161,FORT PIERCE CENTRAL HIGH SCHOOL,12,94,84,98,76,68,65,3,4,,,1,,9,8,273,237,510
ST. LUCIE,162,PERFORMANCE BASED PREPARATORY ACADEMY,12,6,4,5,6,1,7,,,,,,,1,1,13,18,31
ST. LUCIE,201,FORT PIERCE WESTWOOD HIGH SCHOOL,12,49,30,50,26,10,15,1,1,,,,1,1,3,111,76,187
ST. LUCIE,301,PORT ST. LUCIE HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ST. LUCIE,301,PORT ST. LUCIE HIGH SCHOOL,12,84,96,27,30,28,39,2,3,,,3,,2,4,146,172,318
ST. LUCIE,401,ST. LUCIE WEST CENTENNIAL HIGH,12,142,109,51,39,65,79,6,3,1,,,1,7,7,272,238,510
ST. LUCIE,411,TREASURE COAST HIGH SCHOOL,12,107,105,88,68,90,73,4,3,,1,,1,5,2,294,253,547
ST. LUCIE,7001,ST. LUCIE VIRTUAL INSTRUCTION PROGRAM,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ST. LUCIE,7023,MOSAIC DIGITAL ACADEMY,12,8,5,2,,3,1,,,,,,,,,13,6,19
SANTA ROSA,21,CENTRAL SCHOOL,12,21,26,,,,,,,,,,2,1,2,22,30,52
SANTA ROSA,103,GULF BREEZE HIGH SCHOOL,12,152,152,1,2,9,10,1,5,,,,,12,8,175,177,352
SANTA ROSA,141,JAY HIGH SCHOOL,12,35,21,,,,2,,,,,,1,1,,36,24,60
SANTA ROSA,151,MILTON HIGH SCHOOL,12,153,118,17,21,5,3,3,4,1,,1,,12,13,192,159,351
SANTA ROSA,152,SANTA ROSA ADULT SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SANTA ROSA,152,SANTA ROSA ADULT SCHOOL,12,9,8,1,1,1,1,,,,1,,,,,11,11,22
SANTA ROSA,182,PACE HIGH SCHOOL,12,188,155,5,3,6,7,4,5,,,2,1,11,9,216,180,396
SANTA ROSA,351,NAVARRE HIGH SCHOOL,12,163,145,8,9,29,16,5,4,,1,1,2,19,15,225,192,417
SANTA ROSA,7004,SANTA ROSA VIRTUAL FRANCHISE,12,9,4,1,,1,,,,,,1,,,,12,4,16
SANTA ROSA,8001,LEARNING ACADEMY OF SANTA ROSA,12,4,14,1,4,,,,,,,,,1,1,6,19,25
SANTA ROSA,9060,BERRYHILL ADMINISTRATIVE COMPLEX,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SARASOTA,21,PINE VIEW SCHOOL,12,98,69,4,1,7,11,12,9,,,,,11,9,132,99,231
SARASOTA,51,SARASOTA HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SARASOTA,51,SARASOTA HIGH SCHOOL,12,115,132,26,13,48,51,4,10,,,,,7,8,200,214,414
SARASOTA,74,SARASOTA MILITARY ACADEMY,12,67,112,8,4,12,17,2,3,,,3,,3,4,95,140,235
SARASOTA,85,BOOKER HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SARASOTA,85,BOOKER HIGH SCHOOL,12,50,27,32,23,29,29,2,,,,,,4,,117,79,196
SARASOTA,103,IMAGINE SCHOOL AT NORTH PORT,12,9,18,,1,1,4,,,,,,,1,1,11,24,35
SARASOTA,181,RIVERVIEW HIGH SCHOOL,11,1,7,,,2,,,,,,,,,,3,7,10
SARASOTA,181,RIVERVIEW HIGH SCHOOL,12,220,187,20,13,42,31,8,11,1,,2,,14,9,307,251,558
SARASOTA,221,VENICE SENIOR HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SARASOTA,221,VENICE SENIOR HIGH SCHOOL,12,142,171,4,4,8,15,3,2,,,3,,4,8,164,200,364
SARASOTA,292,ESE SPECIAL PROGRAMS,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SARASOTA,293,OAK PARK SCHOOL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SARASOTA,294,TRIAD,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SARASOTA,1251,NORTH PORT HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SARASOTA,1251,NORTH PORT HIGH SCHOOL,12,188,136,12,23,29,33,5,3,,,1,,7,12,242,207,449
SARASOTA,1391,SUNCOAST POLYTECHNICAL HIGH SCHOOL,12,35,41,4,1,8,13,3,2,,,,,1,6,51,63,114
SARASOTA,7001,SARASOTA VIRTUAL INSTRUCTION PROGRAM,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMINOLE,71,LAKE MARY HIGH SCHOOL,12,183,185,37,30,75,70,15,15,3,,1,3,3,9,317,312,629
SEMINOLE,181,SEMINOLE HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMINOLE,181,SEMINOLE HIGH SCHOOL,12,143,138,75,52,66,48,36,32,,1,1,1,18,13,339,285,624
SEMINOLE,251,CROOMS ACADEMY OF INFORMATION TECHNOLOGY,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMINOLE,251,CROOMS ACADEMY OF INFORMATION TECHNOLOGY,12,16,66,12,11,15,20,2,5,,,,,,1,45,103,148
SEMINOLE,421,OVIEDO HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMINOLE,421,OVIEDO HIGH SCHOOL,12,205,202,27,20,44,39,8,7,,,2,1,10,3,296,272,568
SEMINOLE,431,LYMAN HIGH SCHOOL,12,121,165,50,48,51,68,11,5,,,1,,8,7,242,293,535
SEMINOLE,491,LAKE BRANTLEY HIGH SCHOOL,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMINOLE,491,LAKE BRANTLEY HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMINOLE,491,LAKE BRANTLEY HIGH SCHOOL,12,193,179,24,22,67,63,12,14,,,,,6,6,302,284,586
SEMINOLE,551,LAKE HOWELL HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMINOLE,551,LAKE HOWELL HIGH SCHOOL,12,123,129,18,16,69,86,14,9,1,1,,1,4,6,229,248,477
SEMINOLE,571,JOURNEYS ACADEMY,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMINOLE,911,WINTER SPRINGS HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMINOLE,911,WINTER SPRINGS HIGH SCHOOL,12,142,149,35,25,47,56,2,6,,,,1,6,5,232,242,474
SEMINOLE,931,HAGERTY HIGH SCHOOL,12,188,190,14,14,37,48,13,7,,,1,,4,5,257,264,521
SEMINOLE,7004,SEMINOLE COUNTY VIRTUAL FRANCHISE (SCVS),12,11,16,3,1,2,2,1,1,,,,,1,,18,20,38
SUMTER,161,WILDWOOD MIDDLE/ HIGH SCHOOL,12,21,24,8,13,2,8,1,,,,,,2,,34,45,79
SUMTER,171,SOUTH SUMTER HIGH SCHOOL,12,82,88,7,6,20,15,,,,,,,3,2,112,111,223
SUMTER,2001,VILLAGES CHARTER SCHOOL,12,71,55,2,1,9,5,3,2,1,,,,3,2,89,65,154
SUMTER,3001,SUMTER ALTERNATIVES,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SUWANNEE,43,SUWANNEE HIGH SCHOOL,12,76,81,11,16,12,12,1,2,,,1,,4,4,105,115,220
SUWANNEE,91,BRANFORD HIGH SCHOOL,12,37,28,1,,,1,,,,,,,,,38,29,67
SUWANNEE,7023,SUWANNEE VIRTUAL SCHOOL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
TAYLOR,131,TAYLOR TECHNICAL INSTITUTE,12,3,7,,1,,1,,,,,,,,,3,9,12
TAYLOR,161,TAYLOR COUNTY HIGH SCHOOL,12,46,28,11,12,1,2,,1,,,,,1,,59,43,102
UNION,21,UNION COUNTY HIGH SCHOOL,12,51,54,10,6,2,3,,1,,1,,,1,6,64,71,135
