District,School_Number,SCHOOL_NAME,Grade,Female (w),Male (w),Female (b),Male (b),Female (h),Male (h),Female (a),Male (a),Female (pi),Male (pi),Female (na),Male (na),Female (2+),Male (2+),Female (tot),Male (tot),Total
CHARLOTTE,31,CHARLOTTE HIGH SCHOOL,12,134,128,10,13,19,17,2,1,,1,,1,8,6,173,167,340
CHARLOTTE,51,LEMON BAY HIGH SCHOOL,12,114,122,,2,8,5,2,,,,,,1,2,125,131,256
CHARLOTTE,151,PORT CHARLOTTE HIGH SCHOOL,12,93,94,18,28,28,10,2,3,,,,,10,7,151,142,293
CHARLOTTE,161,CHARLOTTE TECHNICAL CENTER,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CHARLOTTE,161,CHARLOTTE TECHNICAL CENTER,12,25,44,4,9,3,8,,,,,1,,3,3,36,64,100
CHARLOTTE,502,FLORIDA SOUTHWESTERN COLLEGIATE HIGH SCHOOL,12,38,30,3,2,5,3,2,1,,,,,1,,49,36,85
CHARLOTTE,7004,CHARLOTTE VIRTUAL FRANCHISE,12,11,6,,,2,,,1,,,,,,,13,7,20
CITRUS,31,CITRUS HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CITRUS,31,CITRUS HIGH SCHOOL,12,130,137,5,4,5,13,,3,,,1,,4,3,145,160,305
CITRUS,121,CRYSTAL RIVER HIGH SCHOOL,12,115,103,5,8,7,7,5,1,,,,2,2,2,134,123,257
CITRUS,163,LECANTO HIGH SCHOOL,12,127,144,8,10,15,15,8,3,,,1,1,,5,159,178,337
CITRUS,8001,CYPRESS CREEK ACADEMY,12,,2,,7,,1,,,,,,,,,0,10,10
CLAY,111,R. C. BANNERMAN LEARNING CENTER,12,4,5,4,5,2,1,,,,,,,,1,10,12,22
CLAY,252,ORANGE PARK HIGH SCHOOL,12,94,101,40,32,21,30,4,6,,,,,9,8,168,177,345
CLAY,311,KEYSTONE HEIGHTS JUNIOR/SENIOR HIGH,12,87,89,,,4,2,2,,,,,,,1,93,92,185
CLAY,341,CLAY HIGH SCHOOL,12,130,126,20,20,12,6,2,5,,1,,1,3,2,167,161,328
CLAY,391,MIDDLEBURG HIGH SCHOOL,12,159,142,7,9,17,7,1,,1,,,,5,5,190,163,353
CLAY,431,RIDGEVIEW HIGH SCHOOL,12,95,90,28,20,20,11,4,7,2,1,,1,11,7,160,137,297
CLAY,551,FLEMING ISLAND HIGH SCHOOL,12,181,202,17,18,24,22,6,17,,1,,,7,12,235,272,507
CLAY,661,OAKLEAF HIGH SCHOOL,12,85,107,64,57,32,20,12,14,3,2,1,2,14,9,211,211,422
CLAY,7004,CLAY VIRTUAL FRANCHISE,12,29,17,2,,,,1,,,,,,3,,35,17,52
